iter	Passed	Remaining
247	5853	64956
248	5874	64897
249	5893	64827
250	5913	64765
251	5937	64742
252	5955	64657
253	5971	64557
254	5991	64494
255	6012	64444
256	6032	64384
257	6054	64345
258	6072	64265
259	6087	64149
260	6104	64062
261	6127	64033
262	6144	63949
263	6168	63926
264	6187	63862
265	6202	63753
266	6220	63671
267	6240	63610
268	6256	63519
269	6275	63453
270	6290	63345
271	6307	63259
272	6324	63170
273	6340	63078
274	6356	62989
275	6372	62891
276	6391	62827
277	6406	62730
278	6421	62630
279	6438	62549
280	6454	62450
281	6471	62376
282	6487	62285
283	6501	62175
284	6524	62152
285	6546	62124
286	6568	62091
287	6599	62140
288	6616	62066
289	6632	61984
290	6652	61932
291	6669	61857
292	6686	61775
293	6705	61718
294	6725	61673
295	6744	61612
296	6768	61601
297	6787	61541
298	6800	61430
299	6818	61364
300	6833	61273
301	6851	61213
302	6866	61121
303	6883	61043
304	6901	60979
305	6914	60872
306	6931	60801
307	6948	60731
308	6963	60644
309	6984	60606
310	7001	60533
311	7017	60454
312	7033	60382
313	7054	60341
314	7070	60263
315	7083	60161
316	7095	60057
317	7110	59966
318	7122	59856
319	7135	59763
320	7151	59688
321	7172	59656
322	7190	59595
323	7203	59491
324	7220	59427
325	7236	59360
326	7250	59270
327	7264	59175
328	7277	59085
329	7292	59005
330	7308	58930
331	7324	58861
332	7340	58787
333	7358	58732
334	7375	58670
335	7391	58600
336	7408	58542
337	7422	58460
338	7449	58476
339	7469	58441
340	7487	58382
341	7508	58354
342	7526	58301
343	7552	58314
344	7574	58287
345	7594	58253
346	7614	58213
347	7634	58179
348	7651	58117
349	7668	58060
350	7689	58032
351	7710	58002
352	7734	57995
353	7756	57973
354	7774	57927
355	7798	57916
356	7813	57849
357	7829	57778
358	7847	57729
359	7863	57667
360	7880	57610
361	7895	57538
362	7910	57467
363	7924	57384
364	7938	57311
365	7955	57251
366	7971	57190
367	7986	57122
368	8006	57084
369	8023	57030
370	8040	56974
371	8057	56923
372	8072	56855
373	8087	56787
374	8103	56727
375	8119	56663
376	8138	56623
377	8153	56556
378	8171	56511
379	8197	56520
380	8217	56486
381	8233	56424
382	8249	56369
383	8264	56304
384	8281	56249
385	8299	56201
386	8316	56154
387	8343	56169
388	8359	56112
389	8377	56064
390	8395	56017
391	8410	55953
392	8424	55886
393	8441	55831
394	8462	55810
395	8480	55767
396	8500	55736
397	8518	55688
398	8541	55677
399	8567	55686
400	8582	55623
